Test name, RMSE_train, RMSE_val, RMSE_Public, Comments,
088186 10000iter,0.713926099,0.758781276,0.88206,,
,,,,,
last features drop 10000iter,0.714685761,0.75911577,0.88289,,
,,,,,
088186 10000iter,0.713926099,0.758781276,,,
1000 iter,0.909956135,0.867370247,,,
new features,0.773589324,0.772573648,,,
no delta price,0.773496461,0.774086008,,,
new features,0.773589324,0.772573648,,,
RUB to USD added,0.773365902,0.77068496,,,
no mean encoded features,0.784708766,0.780160352,,,
new_mean_encodings,0.784679686,0.780238538,,,
no mean encoded features,0.815913337,0.787817663,,,
new_mean_encodings,0.776748681,0.77562663,0.88734,,
no mean encoded features,0.784708766,0.780160352,,,
more_new_mean_encodings,0.745181798,0.767828389,0.93,,
,,,,,
no_item-city,0.761597438,0.780195566,0.91286,0.93252,rounded
,,,,,
clip 0_30,0.863848088,0.87727841,0.93545,,
,,,,,
clip 0_22,0.78277995,0.801128263,0.91677,,
,,,,,
no_item_city,0.761597438,0.780195566,,,
no_item_city,0.783337762,0.786174474,,,
no_item_city,1.196768102,1.056362961,,,
no_item_city,0.783337762,0.786174474,,,
no_item_city_1000_feval,1.171884611,1.034773633,,,
no_item_city_1000_feval,1.171884611,1.034773633,,,
no_item_city_1000_feval,0.783337762,0.786174474,,,
no_item_city_2000_feval,3.093915353,2.371468226,,,
no_item_city_1000_feval,3.093915353,2.371468226,,,
no_item_city_1000_feval,3.097274832,2.376856693,,,
no mean encoded features,3.091694979,2.391980878,,,
no_item_city_1000_feval,3.097274832,2.376856693,,,
no mean encoded features,3.091694979,2.391980878,,,
no_item_city_1000_feval_lambda_0,3.100505973,2.392516562,,,
no_item_city_1000_feval_lambda_1,3.097345701,2.37654009,,,
no_item_city_500_feval_learning 01,3.0821989,2.384451323,,,
no_item_city_500_feval_learning 001,3.192353944,2.420745474,,,
no_item_city_500_feval_learning 01,3.10333297,2.381242576,,,
no mean encoded features,0.783849648,0.78442727,0.9019,,
no_item_city_2000,0.759406628,0.78070722,,,
PricePredFeatures_no mean encod,0.766878517,0.775372669,0.9047,,
,,,,,
base_2000_None_10_0.1,0.69721898,0.780112794,0.91681,,
,,,,,
n_clust plus 1_2000_None_10_0.1,0.697828139,0.790546848,,,
DL mean enc features 500_None_10_0.05,0.763606764,0.784950809,0.89114,,
HPO my features,0.716329,0.777083,0.89033,,
,,,,,
HPO DL features,,,0.88783,,
,,,,,
DL mean enc features 500_None_10_0.05,0.764408517,0.782901154,0.89151,,
DL mean enc features 500_None_10_0.05_retrain for train and val,0.764408517,0.782901154,0.89233,,
my mean enc features 500_None_10_0.05_retrain for train and val,0.752256576,0.79601856,0.89948,,
,,,,,
DL mean enc features 500_None_10_0.05_retrain for train and val_addded new_item pair_match,0.763217028,0.777776328,0.88907,,
DL_mean_enc 500_None_10_0.05_addded new_item pair_match and EWM std features,0.764839766,0.779748662,0.89036,,
,,,,,
DL_mean_enc 500_None_10_0.05_TargetStat features,0.766263718,0.781307369,,,
DL_mean_enc 500_None_10_0.05_TargetStat features,0.766698987,0.780828593,0.89198,,
,,,,,
DL_mean_enc 500_None_10_0.05_TargetStat features,0.764501123,0.779546654,0.88958,,
,,,,,
DL_mean_enc 500_None_10_0.05_False New Features,0.768979743,0.784799604,,,
DL_mean_enc 500_None_10_0.05_True ItemCity added,0.738736417,0.777576682,0.94028,,
,,,,,
my mean enc features_kf5 alpha5 500_None_10_0.05_retrain for train and val_,0.772826073,0.792527557,0.91037,,
,,,,,
X_new_DL_mean_enc 500_None_10_0.05,1.298230402,1.579514843,,,
X_no_itemshop_sales_DL_mean_enc 500_None_10_0.05,0.316241137,0.301509308,,,
X_timeseries_DL_mean_enc 500_None_10_0.05,0.857194944,0.809726736,,,
,,,,,
X_new_DL_mean_enc 500_None_10_0.05,1.520595141,1.550576502,,,
X_no_itemshop_sales_DL_mean_enc 500_None_10_0.05,0.335077283,0.302217521,,,
X_timeseries_DL_mean_enc 500_None_10_0.05,0.923715558,0.821028318,,,
split 3,,,0.89282,,
,,,,,
X_new_DL_mean_enc 500_None_10_0.05,0.85328188,0.799507365,0.90748,,
,,,,,
X_new_DL_mean_enc 500_None_10_0.05,1.665075909,1.535597052,,,
X_no_itemshop_sales_DL_mean_enc 500_None_10_0.05,0.335077283,0.302217521,,,
X_timeseries_DL_mean_enc 500_None_10_0.05,0.923715558,0.821028318,,,
split 3 no first month,,,0.88762,,
,,,,,
X_new_DL_mean_enc 500_None_10_0.05,1.656733661,1.543303221,,,
Feature interactions top 9_2nd order,,,0.88906,,
,,,,,
DL mean enc features 500_None_10_0.05_False,0.768083465,0.784847778,,,
test,0.928018122,0.846564812,,,
test,0.928018122,0.846564812,,,
test,0.928018122,0.846564812,,,
test,0.928018122,0.846564812,,,
test,0.928018122,0.846564812,,,
test,0.928018122,0.846564812,,,
test,0.928018122,0.846564812,,,
test,0.928018122,0.846564812,,,
test,0.800130678,0.791316475,,,
test,0.799422125,0.788113905,,,
test,1.695436332,1.527399522,,,
test,0.313309214,0.301928952,,,
test,0.890174036,0.816692985,,,
test,1.695436332,1.527399522,,,
test,1.695436332,1.527399522,,,
test,1.697403508,1.529022202,,,
test,1.695436332,1.527399522,,,
test,1.695436332,1.527399522,,,
test,1.672751309,1.528565597,,,
test,0.313309214,0.301928952,,,
test,0.318203278,0.301936914,,,
test,0.313309214,0.301928952,,,
test,0.365480961,0.329152542,,,
test,0.315274178,0.302016753,,,
test,0.887918354,0.815355478,,,
New mean encodings,0.74633196,0.816081525,,,
test,1.695436332,1.527399522,,,
test,0.271376724,0.311888455,,,
test,0.842725235,0.854924249,,,
test,0.263940859,0.31358147,,,
test,1.767014876,1.481218614,,,
test,0.314138476,0.302012984,,,
test,0.310042034,0.300369752,,,
test,1.767014876,1.481218614,,,
test,0.310042034,0.300369752,,,
test,2.296799181,None,,,
test,0.364953265,None,,,
test,2.296799181,None,,,
test,1.747780972,None,,,
test,1.767014876,1.481218614,,,
test,1.747780972,None,0.89719,,
,,,0.89596,,
